title,link,image,price,description
"Milton Thermosteel Bottle 24 Hours Hot and Cold Water Bottle 1L Maroon Leak Proof, Office , Gym, Home, Kitchen, Travel Bottle",https://www.daraz.com.np/products/milton-thermosteel-bottle-24-hours-hot-and-cold-water-bottle-1l-maroon-leak-proof-office-gym-home-kitchen-travel-bottle-i128151613.html,https://img.drz.lazcdn.com/static/np/p/d41c7aed1033e1200798e1f4c89ff33a.jpg_200x200q80.avif,"Rs. 1,219","Milton Thermosteel Bottle 24 Hours Hot and Cold Water Bottle 1L Maroon Leak Proof, Office , Gym, Home, Kitchen, Travel Bottle
Rs. 1,219
13 sold
(4)
Madhesh Province"
Baltra Vacuum Flask Bottle Bullet 1000 Ml,https://www.daraz.com.np/products/baltra-vacuum-flask-bottle-bullet-1000-ml-i129590340.html,https://img.drz.lazcdn.com/static/np/p/36a65a2028aab318a99af7da2490b981.jpg_200x200q80.avif,"Rs. 1,430","Baltra Vacuum Flask Bottle Bullet 1000 Ml
Rs. 1,430
Gems save Rs. 14
10 sold
(2)
Bagmati Province"
RABO RCF 103 Vacuum Flask 2.0 L Stainless Steel,https://www.daraz.com.np/products/rabo-rcf-103-vacuum-flask-20-l-stainless-steel-i128941891.html,https://img.drz.lazcdn.com/static/np/p/deeaf58e0f81898b9119c1df9aa40cac.jpg_200x200q80.avif,Rs. 915,"RABO RCF 103 Vacuum Flask 2.0 L Stainless Steel
Rs. 915
17 sold
(1)
Bagmati Province"
Stainless Steel Vacuum Insulated Flask Thermos Bottle 800ml,https://www.daraz.com.np/products/stainless-steel-vacuum-insulated-flask-thermos-bottle-800ml-i163901966.html,https://img.drz.lazcdn.com/static/np/p/c876d315c23f92cfa3cdd9f2cfdf5529.jpg_200x200q80.avif,Rs. 645,"Stainless Steel Vacuum Insulated Flask Thermos Bottle 800ml
Rs. 645
15 sold
Bagmati Province"
Milton Steel Thermos 1 Lit,https://www.daraz.com.np/products/milton-steel-thermos-1-lit-i109397748.html,https://img.drz.lazcdn.com/static/np/p/02bfce2f1897b55118332e46ca23de1e.jpg_200x200q80.avif,"Rs. 1,588","Milton Steel Thermos 1 Lit
Rs. 1,588
75 sold
(22)
Bagmati Province"
"Mega Stainless Steel Slim Hot and Cold Water Bottle Flask, 750ml Thermo Steel Bottle",https://www.daraz.com.np/products/mega-stainless-steel-slim-hot-and-cold-water-bottle-flask-750ml-thermo-steel-bottle-i110482561.html,https://img.drz.lazcdn.com/static/np/p/b12dd85aed528316e38b58172b440e49.jpg_200x200q80.avif,"Rs. 1,190","Mega Stainless Steel Slim Hot and Cold Water Bottle Flask, 750ml Thermo Steel Bottle
Rs. 1,190
Gems save Rs. 12
(1)
Bagmati Province"
"Milton Atlantis 900 Thermosteel Insulated Bottle, 750 ml, Purple, Hot and Cold, Leak Proof, Office Bottle, Sports, Home, Kitchen, Travel ,Rust Proof",https://www.daraz.com.np/products/milton-atlantis-900-thermosteel-insulated-bottle-750-ml-purple-hot-and-cold-leak-proof-office-bottle-sports-home-kitchen-travel-rust-proof-i128123549.html,https://img.drz.lazcdn.com/static/np/p/839ac798a11555e78c10488d21cf0364.jpg_200x200q80.avif,"Rs. 1,899","Milton Atlantis 900 Thermosteel Insulated Bottle, 750 ml, Purple, Hot and Cold, Leak Proof, Office Bottle, Sports, Home, Kitchen, Travel ,Rust Proof
Rs. 1,899
(1)
Madhesh Province"
Milton Atlantis 900 Thermosteel Insulated Water Bottle 750 ml Hot and Cold | Leak Proof | Office Bottle | Sports | Travel | Easy to Carry | Rust Proof,https://www.daraz.com.np/products/milton-atlantis-900-thermosteel-insulated-water-bottle-750-ml-hot-and-cold-leak-proof-office-bottle-sports-travel-easy-to-carry-rust-proof-i128525747.html,https://img.drz.lazcdn.com/static/np/p/31f40428ab890ae66d2bbe020556870d.jpg_200x200q80.avif,"Rs. 2,500","Milton Atlantis 900 Thermosteel Insulated Water Bottle 750 ml Hot and Cold | Leak Proof | Office Bottle | Sports | Travel | Easy to Carry | Rust Proof
Rs. 2,500
17 sold
(8)
Madhesh Province"
Vacuum Thermal Flask 1000ml,https://www.daraz.com.np/products/vacuum-thermal-flask-1000ml-i129941764.html,https://img.drz.lazcdn.com/g/kf/S9486b4c0f0d24fcc92fcbf07cfa111cdJ.jpg_200x200q80.avif,Rs. 899,"Vacuum Thermal Flask 1000ml
Rs. 899
(1)
Bagmati Province"
Electron 2 Litre Stainless Steel Thermos/ Vacuum Flask 2000 Ml ( Elsb-5420 ),https://www.daraz.com.np/products/electron-2-litre-stainless-steel-thermos-vacuum-flask-2000-ml-elsb-5420-i121108533.html,https://img.drz.lazcdn.com/static/np/p/cb5b3d445fcf7600b4e345ddf21b538f.jpg_200x200q80.avif,"Rs. 2,473","Electron 2 Litre Stainless Steel Thermos/ Vacuum Flask 2000 Ml ( Elsb-5420 )
Rs. 2,473
Gems save Rs. 25
9 sold
(2)
Bagmati Province"
Baltraa Leo Thermal Flask-3.5L,https://www.daraz.com.np/products/baltraa-leo-thermal-flask-35l-i109457901.html,https://img.drz.lazcdn.com/static/np/p/a7867e4ced188e581eed5ee054dbdc43.jpg_200x200q80.avif,"Rs. 4,770","Baltraa Leo Thermal Flask-3.5L
Rs. 4,770
Gems save Rs. 48
6 sold
(1)
Bagmati Province"
450ml G100 Stainless Steel Thermos with Tea Infuser,https://www.daraz.com.np/products/450ml-g100-stainless-steel-thermos-with-tea-infuser-i104920129.html,https://img.drz.lazcdn.com/static/np/p/dc0c9bc6d3fc758cffd93dc75faace84.jpg_200x200q80.avif,"Rs. 1,499","450ml G100 Stainless Steel Thermos with Tea Infuser
Rs. 1,499
Gems save Rs. 15
5 sold
(1)
Bagmati Province"
Thermos/Drink Storage/Kitchen Item/Utensils,https://www.daraz.com.np/products/thermosdrink-storagekitchen-itemutensils-i128177734.html,https://img.drz.lazcdn.com/static/np/p/5c329a9e45623af05821b5d3954dda45.jpg_200x200q80.avif,Rs. 690,"Thermos/Drink Storage/Kitchen Item/Utensils
Rs. 690
10 sold
(5)
Bagmati Province"
